Date,Dif Rates,Rate_COP
2021-10-08,-1.912,3766.81
2021-10-11,-1.915,3761.39
2021-10-12,-1.909,3721.18
2021-10-13,-1.919,3744.4
2021-10-14,-1.923,3771.35
2021-10-15,-1.927,3767.47
2021-10-18,-1.927,3770.62
2021-10-19,-1.948,3767.2
2021-10-20,-1.931,3767.56
2021-10-21,-1.929,3780.25
2021-10-22,-1.911,3774.11
2021-10-25,-1.915,3767.8
2021-10-26,-1.912,3769.23
2021-10-27,-1.917,3759.45
2021-10-28,-1.922,3777.75
2021-10-29,-1.916,3767.37
2021-11-02,-2.395,3795.98
2021-11-03,-2.4040000000000004,3834.24
2021-11-04,-2.4080000000000004,3869.34
2021-11-05,-2.4010000000000002,3878.85
2021-11-08,-2.4000000000000004,3876.38
2021-11-09,-2.398,3862.9
2021-11-10,-2.407,3881.91
2021-11-11,-2.415,3878.63
2021-11-12,-2.414,3884.63
2021-11-16,-2.415,3895.34
2021-11-17,-2.406,3918.43
2021-11-18,-2.415,3925.4
2021-11-19,-2.415,3916.18
2021-11-22,-2.419,3894.82
2021-11-23,-2.4010000000000002,3949.88
2021-11-24,-2.418,3975.13
2021-11-25,-2.423,3984.3
2021-11-26,-2.427,4015.7
2021-11-29,-2.4250000000000003,4035.59
2021-11-30,-2.423,3962.76
2021-12-01,-2.4200000000000004,3971.56
2021-12-02,-2.4170000000000003,3938.27
2021-12-03,-2.4170000000000003,3967.44
2021-12-06,-2.4240000000000004,3932.17
2021-12-07,-2.4170000000000003,3910.65
2021-12-08,-2.4170000000000003,3905.56
2021-12-09,-2.4170000000000003,3903.02
2021-12-10,-2.415,3901.3
2021-12-13,-2.415,3890.83
2021-12-14,-2.4090000000000003,4003.09
2021-12-15,-2.4090000000000003,4000.1
2021-12-16,-2.407,4019.45
2021-12-17,-2.4040000000000004,4028.13
2021-12-20,-2.878,4007.16
2021-12-21,-2.855,4001.07
2021-12-22,-2.858,3999.62
2021-12-23,-2.862,3998.88
2021-12-24,-2.865,3993.43
2021-12-27,-2.866,3999.42
